block,obj,obj_passive,obj_active
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,1714.8672489753976,2682.2443286226594,3450.8121883831072
91,8634.537673818477,13934.397817369685,15364.460021371464
92,3733.575664927913,6606.9870757379595,6712.602103105002
93,2376.6292381692874,2404.7702217273945,2422.4264017323244
94,4507.278889379746,4746.826415974593,5011.972044178285
95,4485.848779312434,5038.114686141237,5369.175127421466
96,4092.212327406257,5367.696905468727,5617.406510153336
97,3463.660910513881,2145.632254126115,2853.1777214538806
98,4995.968166284875,1801.3712053430197,1999.527986104893
99,1934.8092191812989,2111.050060597745,2360.246854799941
100,1659.0854712485443,2237.5445048702513,2646.231583275934
101,2217.8809163217375,1593.4102089168866,1696.118268849285
102,4483.350679015011,764.1355902009063,785.7829998017733
103,5535.765130927038,7060.563369829006,7399.605499117771
104,3493.2233973650077,3540.9524856675134,4072.785488627016
105,1870.6313573760915,1865.8908679485648,2220.7894063826147
106,2210.2412096681255,1629.2847533265954,2123.9057916322827
107,3085.8435888468453,3547.5347529241203,3866.8743398772494
108,3626.369528513238,4215.916653696968,4387.891303625143
109,4197.768471316672,5685.325422815718,5922.90120714518
110,5943.546379994591,6946.572460110743,7231.45169890541
111,564.8656946958151,278.23935124256735,490.6142736267029
112,3985.839146895289,4427.76972496298,4427.557949751754
113,1127.7518288971053,736.0817298494741,928.7076409999617
114,611.216846398378,523.9102066885932,685.6270276080545
115,952.1067933588431,995.9702396252387,1120.083641057714
116,2746.166779127938,3374.8515685923408,3377.3951482500493
117,2480.995414662799,2950.4927655616334,3031.4659209589154
118,1313.593468123858,1620.7835763301227,1878.9156095487276
119,2224.1062086584807,2932.4981299379165,3185.6281005643677
120,1773.252593246697,1745.645646258987,1932.2522775458003
121,1461.1375125326304,1773.8457157290468,1888.894475713882
122,685.0796328630189,732.5947523712205,752.1512477595072
123,918.9374415876225,798.5046386282302,1072.7476065709736
124,2932.2046029484995,3455.997300592043,3606.6965795473693
125,2715.6618549422647,2861.675780731821,3026.62320348554
126,3319.960614931498,3317.576824171468,3426.313685811379
127,3100.4828987384467,4122.986531869512,4538.367496016954
128,1862.5579218458706,2114.045646438051,2246.1590085541566
129,1444.6132245055612,1429.2347906881273,1466.9881901161955
130,1987.6483138168026,2325.124496087448,2345.6263084156817
131,1899.1205333637283,2264.917017183597,2279.4833895999172
132,2175.536174572053,2438.70658809285,2441.5141731447166
133,2044.3051725844846,2043.4107559955598,2211.404689039945
