block,obj,obj_passive,obj_active
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,3143.4331713198703,2209.7325356245638,2943.045036480966
91,9922.716044832297,12567.351161320194,13915.99026017064
92,5287.83776826491,6132.533101770621,6231.271865502289
93,3736.761629602013,3712.334138573077,3759.9920728939283
94,5900.415247793782,5337.467701341544,5697.949600456619
95,6037.644665457503,5069.750631258502,5373.391870312369
96,5679.514033381922,4808.442284169863,5049.092237825054
97,5786.141973930807,2405.140168686206,3026.0042302915253
98,8176.929480085278,1800.8258680849676,1999.5279860691317
99,4206.709204489116,2540.750254547985,2629.5805959473596
100,2835.830051903539,3308.723651951965,3462.6267288458166
101,3777.3527212201952,-1111.5622777857097,-981.0186412870935
102,6069.4328171038205,-2142.6860275395393,-2106.4834580568076
103,6875.40488063686,6091.545353221994,6557.333385733502
104,4615.180618136364,1021.9513181419316,1818.524234481134
105,2675.4413822984643,-146.6280188127921,240.014360440543
106,2723.032612859037,329.6739209891657,926.5809129271365
107,4266.5303032637885,4948.353901338709,5262.3134814692785
108,4412.967107878017,4934.98669744291,5090.461273315721
109,5109.242996774865,5937.448430107903,5972.42598605433
110,7051.275240994,7039.9709522367075,7299.771163795894
111,776.9089504954894,117.81842827203675,325.981796593768
112,4923.444984692218,4303.810911342456,4303.597866483008
113,2582.105068013136,-2381.218449054346,-2139.8618925209394
114,1962.973850462718,1669.1200149404885,1815.2563166552754
115,2243.98590827502,131.03881017382537,437.6965415889126
116,3486.1785256392754,3064.0402956058047,3210.6388265050227
117,3512.360241575829,4014.2545405990722,4035.9464597948495
118,1620.8209156860587,1426.119759855193,1706.9860642750195
119,3019.6854542040296,3012.367793394571,3253.711837413246
120,2516.4497519179527,2046.559835468544,2148.123856105646
121,1984.6459607310635,538.4099966509566,759.4290908394605
122,993.0772877451135,-447.2348070781395,-358.34009179372015
123,1245.6046852251784,889.0475547649039,1232.6655249907171
124,3608.82130630023,3117.3753701154656,3319.349400004506
125,3638.9130483076483,2528.508448123523,2530.486133083484
126,3787.150248557113,3141.9900084215874,3321.9104961627577
127,3516.063302898475,4745.178338947102,5135.469311144755
128,2861.160959246271,1115.2327079573724,1205.3875476982075
129,2160.761995221129,760.8947011636801,1018.8729611611918
130,2619.952447500842,1550.259285402934,1774.6367116772135
131,2955.0096315609085,1291.9081212176166,1813.3705839277216
132,2804.36316612512,2375.7088690203327,2589.5160445046095
133,2235.9946854725404,2511.3667864809677,2660.5603144472175
