"TimeUTC","imbalMeas"
2022-01-01 00:00:00,"41.33"
2022-01-01 01:00:00,"43.22"
2022-01-01 02:00:00,"45.46"
2022-01-01 03:00:00,"37.67"
2022-01-01 04:00:00,"39.70"
2022-01-01 05:00:00,"40.59"
2022-01-01 06:00:00,"43.26"
2022-01-01 07:00:00,"43.14"
2022-01-01 08:00:00,"43.13"
2022-01-01 09:00:00,"76.79"
2022-01-01 10:00:00,"84.10"
2022-01-01 11:00:00,"65.00"
2022-01-01 12:00:00,"50.21"
2022-01-01 13:00:00,"56.00"
2022-01-01 14:00:00,"101.27"
2022-01-01 15:00:00,"102.00"
2022-01-01 16:00:00,"102.00"
2022-01-01 17:00:00,"102.00"
2022-01-01 18:00:00,"80.00"
2022-01-01 19:00:00,"80.00"
2022-01-01 20:00:00,"42.95"
2022-01-01 21:00:00,"42.48"
2022-01-01 22:00:00,"28.00"
2022-01-01 23:00:00,"27.00"
2022-01-02 00:00:00,"52.59"
2022-01-02 01:00:00,"48.97"
2022-01-02 02:00:00,"34.94"
2022-01-02 03:00:00,"29.56"
2022-01-02 04:00:00,"27.00"
2022-01-02 05:00:00,"27.00"
2022-01-02 06:00:00,"27.00"
2022-01-02 07:00:00,"32.11"
2022-01-02 08:00:00,"33.00"
2022-01-02 09:00:00,"33.00"
2022-01-02 10:00:00,"66.26"
2022-01-02 11:00:00,"64.54"
2022-01-02 12:00:00,"80.00"
2022-01-02 13:00:00,"90.00"
2022-01-02 14:00:00,"110.00"
2022-01-02 15:00:00,"88.15"
2022-01-02 16:00:00,"144.50"
2022-01-02 17:00:00,"87.84"
2022-01-02 18:00:00,"71.27"
2022-01-02 19:00:00,"30.00"
2022-01-02 20:00:00,"27.00"
2022-01-02 21:00:00,"27.00"
2022-01-02 22:00:00,"24.50"
2022-01-02 23:00:00,"13.20"
2022-01-03 00:00:00,"15.00"
2022-01-03 01:00:00,"12.00"
2022-01-03 02:00:00,"12.00"
2022-01-03 03:00:00,"0.10"
2022-01-03 04:00:00,"0.32"
2022-01-03 05:00:00,"23.82"
2022-01-03 06:00:00,"26.00"
2022-01-03 07:00:00,"100.00"
2022-01-03 08:00:00,"110.17"
2022-01-03 09:00:00,"93.38"
2022-01-03 10:00:00,"90.73"
2022-01-03 11:00:00,"82.37"
2022-01-03 12:00:00,"80.90"
2022-01-03 13:00:00,"80.99"
2022-01-03 14:00:00,"98.05"
2022-01-03 15:00:00,"120.55"
2022-01-03 16:00:00,"139.57"
2022-01-03 17:00:00,"134.69"
2022-01-03 18:00:00,"114.82"
2022-01-03 19:00:00,"117.71"
