"TimeUTC","Load","LoadLastHour","LoadLastDay","LoadLastWeek"
2022-01-01 00:00:00,"1962",NA,NA,NA
2022-01-01 01:00:00,"1889","1962",NA,NA
2022-01-01 02:00:00,"1857","1889",NA,NA
2022-01-01 03:00:00,"1824","1857",NA,NA
2022-01-01 04:00:00,"1831","1824",NA,NA
2022-01-01 05:00:00,"1887","1831",NA,NA
2022-01-01 06:00:00,"1966","1887",NA,NA
2022-01-01 07:00:00,"2045","1966",NA,NA
2022-01-01 08:00:00,"2161","2045",NA,NA
2022-01-01 09:00:00,"2273","2161",NA,NA
2022-01-01 10:00:00,"2334","2273",NA,NA
2022-01-01 11:00:00,"2343","2334",NA,NA
2022-01-01 12:00:00,"2344","2343",NA,NA
2022-01-01 13:00:00,"2374","2344",NA,NA
2022-01-01 14:00:00,"2368","2374",NA,NA
2022-01-01 15:00:00,"2524","2368",NA,NA
2022-01-01 16:00:00,"2675","2524",NA,NA
2022-01-01 17:00:00,"2605","2675",NA,NA
2022-01-01 18:00:00,"2459","2605",NA,NA
2022-01-01 19:00:00,"2323","2459",NA,NA
2022-01-01 20:00:00,"2262","2323",NA,NA
2022-01-01 21:00:00,"2226","2262",NA,NA
2022-01-01 22:00:00,"2144","2226",NA,NA
2022-01-01 23:00:00,"2050","2144",NA,NA
2022-01-02 00:00:00,"1992","2050","1962",NA
2022-01-02 01:00:00,"1949","1992","1889",NA
2022-01-02 02:00:00,"1948","1949","1857",NA
2022-01-02 03:00:00,"1927","1948","1824",NA
2022-01-02 04:00:00,"1943","1927","1831",NA
2022-01-02 05:00:00,"2022","1943","1887",NA
2022-01-02 06:00:00,"2182","2022","1966",NA
2022-01-02 07:00:00,"2331","2182","2045",NA
2022-01-02 08:00:00,"2428","2331","2161",NA
2022-01-02 09:00:00,"2468","2428","2273",NA
2022-01-02 10:00:00,"2506","2468","2334",NA
2022-01-02 11:00:00,"2509","2506","2343",NA
2022-01-02 12:00:00,"2489","2509","2344",NA
2022-01-02 13:00:00,"2486","2489","2374",NA
2022-01-02 14:00:00,"2546","2486","2368",NA
2022-01-02 15:00:00,"2734","2546","2524",NA
2022-01-02 16:00:00,"2906","2734","2675",NA
2022-01-02 17:00:00,"2805","2906","2605",NA
2022-01-02 18:00:00,"2617","2805","2459",NA
2022-01-02 19:00:00,"2455","2617","2323",NA
2022-01-02 20:00:00,"2347","2455","2262",NA
2022-01-02 21:00:00,"2304","2347","2226",NA
2022-01-02 22:00:00,"2227","2304","2144",NA
2022-01-02 23:00:00,"2042","2227","2050",NA
2022-01-03 00:00:00,"2000","2042","1992",NA
2022-01-03 01:00:00,"2019","2000","1949",NA
2022-01-03 02:00:00,"2068","2019","1948",NA
2022-01-03 03:00:00,"2123","2068","1927",NA
2022-01-03 04:00:00,"2250","2123","1943",NA
2022-01-03 05:00:00,"2621","2250","2022",NA
2022-01-03 06:00:00,"3051","2621","2182",NA
2022-01-03 07:00:00,"3191","3051","2331",NA
2022-01-03 08:00:00,"3127","3191","2428",NA
2022-01-03 09:00:00,"3172","3127","2468",NA
2022-01-03 10:00:00,"3245","3172","2506",NA
2022-01-03 11:00:00,"3189","3245","2509",NA
2022-01-03 12:00:00,"3159","3189","2489",NA
2022-01-03 13:00:00,"3134","3159","2486",NA
2022-01-03 14:00:00,"3068","3134","2546",NA
2022-01-03 15:00:00,"3189","3068","2734",NA
2022-01-03 16:00:00,"3384","3189","2906",NA
2022-01-03 17:00:00,"3193","3384","2805",NA
2022-01-03 18:00:00,"3063","3193","2617",NA
2022-01-03 19:00:00,"2877","3063","2455",NA
2022-01-03 20:00:00,"2735","2877","2347",NA
2022-01-03 21:00:00,"2618","2735","2304",NA
2022-01-03 22:00:00,"2462","2618","2227",NA
