"TimeUTC","GreenPower","GreenPowerLastHour","GreenPowerLastDay","GreenPowerLastWeek"
2022-01-01 00:00:00,1670,NA,NA,NA
2022-01-01 01:00:00,1623,1670,NA,NA
2022-01-01 02:00:00,1363,1623,NA,NA
2022-01-01 03:00:00,1163,1363,NA,NA
2022-01-01 04:00:00,854,1163,NA,NA
2022-01-01 05:00:00,645,854,NA,NA
2022-01-01 06:00:00,499,645,NA,NA
2022-01-01 07:00:00,384,499,NA,NA
2022-01-01 08:00:00,290,384,NA,NA
2022-01-01 09:00:00,247,290,NA,NA
2022-01-01 10:00:00,279,247,NA,NA
2022-01-01 11:00:00,409,279,NA,NA
2022-01-01 12:00:00,626,409,NA,NA
2022-01-01 13:00:00,874,626,NA,NA
2022-01-01 14:00:00,1199,874,NA,NA
2022-01-01 15:00:00,1570,1199,NA,NA
2022-01-01 16:00:00,2090,1570,NA,NA
2022-01-01 17:00:00,2590,2090,NA,NA
2022-01-01 18:00:00,2870,2590,NA,NA
2022-01-01 19:00:00,3014,2870,NA,NA
2022-01-01 20:00:00,2983,3014,NA,NA
2022-01-01 21:00:00,2936,2983,NA,NA
2022-01-01 22:00:00,2815,2936,NA,NA
2022-01-01 23:00:00,2626,2815,NA,NA
2022-01-02 00:00:00,2407,2626,1670,NA
2022-01-02 01:00:00,2270,2407,1623,NA
2022-01-02 02:00:00,2084,2270,1363,NA
2022-01-02 03:00:00,2064,2084,1163,NA
2022-01-02 04:00:00,1978,2064,854,NA
2022-01-02 05:00:00,1949,1978,645,NA
2022-01-02 06:00:00,1937,1949,499,NA
2022-01-02 07:00:00,1755,1937,384,NA
2022-01-02 08:00:00,1581,1755,290,NA
2022-01-02 09:00:00,1430,1581,247,NA
2022-01-02 10:00:00,1333,1430,279,NA
2022-01-02 11:00:00,1193,1333,409,NA
2022-01-02 12:00:00,1101,1193,626,NA
2022-01-02 13:00:00,909,1101,874,NA
2022-01-02 14:00:00,986,909,1199,NA
2022-01-02 15:00:00,1147,986,1570,NA
2022-01-02 16:00:00,1476,1147,2090,NA
2022-01-02 17:00:00,1770,1476,2590,NA
2022-01-02 18:00:00,2036,1770,2870,NA
2022-01-02 19:00:00,2195,2036,3014,NA
2022-01-02 20:00:00,2256,2195,2983,NA
2022-01-02 21:00:00,2203,2256,2936,NA
2022-01-02 22:00:00,2063,2203,2815,NA
2022-01-02 23:00:00,1877,2063,2626,NA
2022-01-03 00:00:00,1805,1877,2407,NA
2022-01-03 01:00:00,1925,1805,2270,NA
2022-01-03 02:00:00,2061,1925,2084,NA
2022-01-03 03:00:00,2309,2061,2064,NA
2022-01-03 04:00:00,2529,2309,1978,NA
2022-01-03 05:00:00,2873,2529,1949,NA
2022-01-03 06:00:00,3224,2873,1937,NA
2022-01-03 07:00:00,3456,3224,1755,NA
2022-01-03 08:00:00,3498,3456,1581,NA
2022-01-03 09:00:00,3494,3498,1430,NA
2022-01-03 10:00:00,3679,3494,1333,NA
2022-01-03 11:00:00,3839,3679,1193,NA
2022-01-03 12:00:00,3697,3839,1101,NA
2022-01-03 13:00:00,3645,3697,909,NA
2022-01-03 14:00:00,3781,3645,986,NA
2022-01-03 15:00:00,3693,3781,1147,NA
2022-01-03 16:00:00,3304,3693,1476,NA
2022-01-03 17:00:00,2725,3304,1770,NA
2022-01-03 18:00:00,2262,2725,2036,NA
2022-01-03 19:00:00,1939,2262,2195,NA
2022-01-03 20:00:00,1728,1939,2256,NA
2022-01-03 21:00:00,1572,1728,2203,NA
2022-01-03 22:00:00,1503,1572,2063,NA
2022-01-03 23:00:00,1340,1503,1877,NA
2022-01-04 00:00:00,1300,1340,1805,NA
2022-01-04 01:00:00,1350,1300,1925,NA
2022-01-04 02:00:00,1463,1350,2061,NA
2022-01-04 03:00:00,1512,1463,2309,NA
2022-01-04 04:00:00,1575,1512,2529,NA
2022-01-04 05:00:00,1760,1575,2873,NA
2022-01-04 06:00:00,2035,1760,3224,NA
2022-01-04 07:00:00,2316,2035,3456,NA
2022-01-04 08:00:00,2384,2316,3498,NA
