"TimeUTC","WindMeas"
"2022-01-01 00:00:00",1988
"2022-01-01 01:00:00",1884
"2022-01-01 02:00:00",1710
"2022-01-01 03:00:00",1571
"2022-01-01 04:00:00",1490
"2022-01-01 05:00:00",1305
"2022-01-01 06:00:00",1113
"2022-01-01 07:00:00",723
"2022-01-01 08:00:00",331
"2022-01-01 09:00:00",303
"2022-01-01 10:00:00",338
"2022-01-01 11:00:00",600
"2022-01-01 12:00:00",806
"2022-01-01 13:00:00",1050
"2022-01-01 14:00:00",1504
"2022-01-01 15:00:00",2076
"2022-01-01 16:00:00",2533
"2022-01-01 17:00:00",2926
"2022-01-01 18:00:00",3028
"2022-01-01 19:00:00",3147
"2022-01-01 20:00:00",3215
"2022-01-01 21:00:00",3098
"2022-01-01 22:00:00",3042
"2022-01-01 23:00:00",2526
"2022-01-02 00:00:00",2363
"2022-01-02 01:00:00",2292
"2022-01-02 02:00:00",2120
"2022-01-02 03:00:00",2114
"2022-01-02 04:00:00",2233
"2022-01-02 05:00:00",2142
"2022-01-02 06:00:00",2075
"2022-01-02 07:00:00",1857
"2022-01-02 08:00:00",1674
"2022-01-02 09:00:00",1414
"2022-01-02 10:00:00",1066
"2022-01-02 11:00:00",818
"2022-01-02 12:00:00",715
"2022-01-02 13:00:00",847
"2022-01-02 14:00:00",1037
"2022-01-02 15:00:00",1286
"2022-01-02 16:00:00",1568
"2022-01-02 17:00:00",2050
"2022-01-02 18:00:00",2573
"2022-01-02 19:00:00",2862
"2022-01-02 20:00:00",2800
"2022-01-02 21:00:00",2458
"2022-01-02 22:00:00",2174
"2022-01-02 23:00:00",2131
"2022-01-03 00:00:00",2182
"2022-01-03 01:00:00",2221
"2022-01-03 02:00:00",2391
"2022-01-03 03:00:00",2531
"2022-01-03 04:00:00",2685
"2022-01-03 05:00:00",3011
"2022-01-03 06:00:00",3084
"2022-01-03 07:00:00",3157
"2022-01-03 08:00:00",3616
"2022-01-03 09:00:00",3751
"2022-01-03 10:00:00",3937
"2022-01-03 11:00:00",4039
"2022-01-03 12:00:00",4086
"2022-01-03 13:00:00",4111
"2022-01-03 14:00:00",4126
"2022-01-03 15:00:00",4135
"2022-01-03 16:00:00",4195
"2022-01-03 17:00:00",4014
"2022-01-03 18:00:00",3484
"2022-01-03 19:00:00",2954
"2022-01-03 20:00:00",2235
"2022-01-03 21:00:00",1826
"2022-01-03 22:00:00",1576
"2022-01-03 23:00:00",1329
"2022-01-04 00:00:00",1058
